"cohort_start_date","dose","vaccination_campaign","n_dose_day"
2024-04-16,6,"s_2024",496
2024-04-16,7,"s_2024",835
2024-04-16,8,"s_2024",3381
2024-04-16,9,"s_2024",124
2024-04-17,3,"s_2024",5
2024-04-17,4,"s_2024",10
2024-04-17,5,"s_2024",38
2024-04-17,6,"s_2024",333
2024-04-17,7,"s_2024",603
2024-04-17,8,"s_2024",2597
2024-04-17,9,"s_2024",114
2024-04-17,10,"s_2024",5
2024-04-18,3,"s_2024",5
2024-04-18,4,"s_2024",5
2024-04-18,5,"s_2024",32
2024-04-18,6,"s_2024",382
2024-04-18,7,"s_2024",835
2024-04-18,8,"s_2024",3439
2024-04-18,9,"s_2024",102
2024-04-19,3,"s_2024",6
2024-04-19,4,"s_2024",7
2024-04-19,5,"s_2024",28
2024-04-19,6,"s_2024",308
2024-04-19,7,"s_2024",700
2024-04-19,8,"s_2024",2712
2024-04-19,9,"s_2024",64
2024-04-20,4,"s_2024",5
2024-04-20,5,"s_2024",18
2024-04-20,6,"s_2024",199
2024-04-20,7,"s_2024",930
2024-04-20,8,"s_2024",2248
2024-04-20,9,"s_2024",142
2024-04-20,10,"s_2024",5
2024-04-21,4,"s_2024",5
2024-04-21,5,"s_2024",9
2024-04-21,6,"s_2024",50
2024-04-21,7,"s_2024",132
2024-04-21,8,"s_2024",976
2024-04-21,9,"s_2024",28
2024-04-22,3,"s_2024",5
2024-04-22,4,"s_2024",11
2024-04-22,5,"s_2024",30
2024-04-22,6,"s_2024",337
2024-04-22,7,"s_2024",724
2024-04-22,8,"s_2024",3170
2024-04-22,9,"s_2024",68
2024-04-23,3,"s_2024",5
2024-04-23,4,"s_2024",7
2024-04-23,5,"s_2024",48
2024-04-23,6,"s_2024",496
2024-04-23,7,"s_2024",1005
2024-04-23,8,"s_2024",3540
2024-04-23,9,"s_2024",109
2024-04-24,3,"s_2024",5
2024-04-24,4,"s_2024",8
2024-04-24,5,"s_2024",34
2024-04-24,6,"s_2024",495
